Name,PCMARK 10 FULL STORAGE  ZERO,PCMARK 10 FULL STORAGE 75%,"3DMARK STORAGE ZERO","3DMARK STORAGE 75%",SEPC Workstation 3.1 Storage zero,SEPC Workstation 3.1 Storage 75%
ADATA  960 2T,3672,3787,4160,4161,36.91,36.27
fanxiang MAP1202  512G,2712,2372,3129,3125,15.35,16.93
GUDGA IG 512G,1857,1508,2507,2449,"发生错误,跑不了",
INTEL 660P 512G,1714,829,2233,1472,12.5,11.59
INTEL 670P 1T,2702,2018,3098,3035,21.61,19.68
INTEL 750 400G,1393,1395,1333,1321,"Intel DC SSD在这个项目性能异常 不加入测试","Intel DC SSD在这个项目性能异常 不加入测试"
Intel 900P 280G,6005,容量过低没办法测,5403,容量过低没办法测,40.12,容量过低没办法测
Intel DC S3610 200G,621,容量过低没办法测,653,容量过低没办法测,"Intel DC SSD在这个项目性能异常 不加入测试","Intel DC SSD在这个项目性能异常 不加入测试"
Intel P4500 2T,1389,1375,1460,1474,"Intel DC SSD在这个项目性能异常 不加入测试","Intel DC SSD在这个项目性能异常 不加入测试"
Intel P5800X 400G,8865,8790,7967,8955,64.03,63.84
KIOXIA CM6V 3.2T,2770,2744,3332,3321,36.76,36.02
KIOXIA FL6 800G,3790,3783,5196,5197,41.83,42.09
kioxia Q200EX. 256G,854,753,942,941,7.45,7.71
kioxia RC10 1T,1596,1500,1750,1738,16.01,15.71
memblaze D916 3.2T,1198,大容量DC不重复测试,1700,大容量DC不重复测试,18.33,大容量DC不重复测试
Netlist 1951 7.68T,1325,大容量DC不重复测试,没测,没测,21.35,大容量DC不重复测试
P41 PLUS  L01C 2.0,3434,2546,3563,3089,21.18,21.07
PC801 1T,3920,3528,4336,4271,35,35.4
PLEXTOR M6S 128G,910,容量过低没办法测,971,容量过低没办法测,"测试错误,跑不完",容量过低没办法测
PM883 480G,1110,1110,1184,1288,9.57,9.32
PM9A3 1.92T M2,2130,大容量DC不重复测试,3294,大容量DC不重复测试,26.88,大容量DC不重复测试
PM9A7 960G,2301,大容量DC不重复测试,3525,容量过低没办法测,29.55,大容量DC不重复测试
Samsung PM9A1 1T,3070,2364,2792,2393,36.43,28.7
SK PE4010 900G,1449,1437,1693,1694,14.29,14.95
Solidigm P41 PLUS 1T,2874,2466,2593,2562,24.36,23.35
UMIS AM6A1 1T,2677,2430,2452,2449,16.87,16.14
UMIS AM6B1 1T,4197,3664,3440,3337,26.1,24.78
WD SN550 1T,1947,1919,2440,2449,16.28,16.93
WD SN580 1T,3509,3425,4016,3897,31.17,29.97
WD SN810 1T,3443,3416,4154,4178,28.02,27.69
YMTC PC411 2T,3880,3804,3915,3726,18.5,18.06
ZHITAI TI600 1T QLC,3763,2560,4152,2738,20.04,19.3

